Series Name,Date,Value,Unit
Workers Remittances (WR),2010-09-30,922.06,Million USD
Workers Remittances (WR),2010-10-31,855.11,Million USD
Workers Remittances (WR),2010-11-30,926.89,Million USD
Workers Remittances (WR),2010-12-31,863.13,Million USD
Workers Remittances (WR),2011-01-31,826.57,Million USD
Workers Remittances (WR),2011-02-28,845.28,Million USD
Workers Remittances (WR),2011-03-31,1052.9,Million USD
Workers Remittances (WR),2011-04-30,1030.43,Million USD
Workers Remittances (WR),2011-05-31,1049.8,Million USD
Workers Remittances (WR),2011-06-30,1104.56,Million USD
Workers Remittances (WR),2011-07-31,1096.31,Million USD
Workers Remittances (WR),2011-08-31,1310.47,Million USD
Workers Remittances (WR),2011-09-30,890.42,Million USD
Workers Remittances (WR),2011-10-31,1017.87,Million USD
Workers Remittances (WR),2011-11-30,924.92,Million USD
Workers Remittances (WR),2011-12-31,1085.35,Million USD
Workers Remittances (WR),2012-01-31,1110.64,Million USD
Workers Remittances (WR),2012-02-29,1156.81,Million USD
Workers Remittances (WR),2012-03-31,1143.18,Million USD
Workers Remittances (WR),2012-04-30,1141.02,Million USD
Workers Remittances (WR),2012-05-31,1192.11,Million USD
Workers Remittances (WR),2012-06-30,1117.52,Million USD
Workers Remittances (WR),2012-07-31,1204.71,Million USD
Workers Remittances (WR),2012-08-31,1258.98,Million USD
Workers Remittances (WR),2012-09-30,1135.42,Million USD
Workers Remittances (WR),2012-10-31,1365.1,Million USD
Workers Remittances (WR),2012-11-30,1017.83,Million USD
Workers Remittances (WR),2012-12-31,1134.7,Million USD
Workers Remittances (WR),2013-01-31,1089.64,Million USD
Workers Remittances (WR),2013-02-28,1028.38,Million USD
Workers Remittances (WR),2013-03-31,1119.15,Million USD
Workers Remittances (WR),2013-04-30,1215.9,Million USD
Workers Remittances (WR),2013-05-31,1185.65,Million USD
Workers Remittances (WR),2013-06-30,1166.19,Million USD
Workers Remittances (WR),2013-07-31,1404.69,Million USD
Workers Remittances (WR),2013-08-31,1240.14,Million USD
Workers Remittances (WR),2013-09-30,1284.22,Million USD
Workers Remittances (WR),2013-10-31,1348.03,Million USD
Workers Remittances (WR),2013-11-30,1130.41,Million USD
Workers Remittances (WR),2013-12-31,1384.94,Million USD
Workers Remittances (WR),2014-01-31,1245.97,Million USD
Workers Remittances (WR),2014-02-28,1209.77,Million USD
Workers Remittances (WR),2014-03-31,1337.89,Million USD
Workers Remittances (WR),2014-04-30,1311.85,Million USD
Workers Remittances (WR),2014-05-31,1440.47,Million USD
Workers Remittances (WR),2014-06-30,1499.33,Million USD
Workers Remittances (WR),2014-07-31,1675.77,Million USD
Workers Remittances (WR),2014-08-31,1350.86,Million USD
Workers Remittances (WR),2014-09-30,1748.49,Million USD
Workers Remittances (WR),2014-10-31,1409.22,Million USD
Workers Remittances (WR),2014-11-30,1343.76,Million USD
Workers Remittances (WR),2014-12-31,1634.06,Million USD
Workers Remittances (WR),2015-01-31,1403.74,Million USD
Workers Remittances (WR),2015-02-28,1420.54,Million USD
Workers Remittances (WR),2015-03-31,1608.51,Million USD
Workers Remittances (WR),2015-04-30,1640.05,Million USD
Workers Remittances (WR),2015-05-31,1663.32,Million USD
Workers Remittances (WR),2015-06-30,1821.68,Million USD
Workers Remittances (WR),2015-07-31,1663.47,Million USD
Workers Remittances (WR),2015-08-31,1527.19,Million USD
Workers Remittances (WR),2015-09-30,1775.15,Million USD
Workers Remittances (WR),2015-10-31,1541.21,Million USD
Workers Remittances (WR),2015-11-30,1565.19,Million USD
Workers Remittances (WR),2015-12-31,1616.13,Million USD
Workers Remittances (WR),2016-01-31,1466.38,Million USD
Workers Remittances (WR),2016-02-29,1521.92,Million USD
Workers Remittances (WR),2016-03-31,1711.15,Million USD
Workers Remittances (WR),2016-04-30,1656.46,Million USD
Workers Remittances (WR),2016-05-31,1799.43,Million USD
Workers Remittances (WR),2016-06-30,2073.08,Million USD
Workers Remittances (WR),2016-07-31,1360.28,Million USD
Workers Remittances (WR),2016-08-31,1767.73,Million USD
Workers Remittances (WR),2016-09-30,1612.36,Million USD
Workers Remittances (WR),2016-10-31,1561.02,Million USD
Workers Remittances (WR),2016-11-30,1618.35,Million USD
Workers Remittances (WR),2016-12-31,1585.37,Million USD
Workers Remittances (WR),2017-01-31,1488.37,Million USD
Workers Remittances (WR),2017-02-28,1417.06,Million USD
Workers Remittances (WR),2017-03-31,1694.49,Million USD
Workers Remittances (WR),2017-04-30,1538.94,Million USD
Workers Remittances (WR),2017-05-31,1867.15,Million USD
Workers Remittances (WR),2017-06-30,1840.28,Million USD
Workers Remittances (WR),2017-07-31,1555.65,Million USD
Workers Remittances (WR),2017-08-31,1975.04,Million USD
Workers Remittances (WR),2017-09-30,1314.1,Million USD
Workers Remittances (WR),2017-10-31,1677.02,Million USD
Workers Remittances (WR),2017-11-30,1596.47,Million USD
Workers Remittances (WR),2017-12-31,1745.75,Million USD
Workers Remittances (WR),2018-01-31,1662.25,Million USD
Workers Remittances (WR),2018-02-28,1473.07,Million USD
Workers Remittances (WR),2018-03-31,1803.6,Million USD
Workers Remittances (WR),2018-04-30,1678.87,Million USD
Workers Remittances (WR),2018-05-31,1804.08,Million USD
Workers Remittances (WR),2018-06-30,1627.65,Million USD
Workers Remittances (WR),2018-07-31,1974.35,Million USD
Workers Remittances (WR),2018-08-31,2083.08,Million USD
Workers Remittances (WR),2018-09-30,1480.3,Million USD
Workers Remittances (WR),2018-10-31,2052.55,Million USD
Workers Remittances (WR),2018-11-30,1657.0,Million USD
Workers Remittances (WR),2018-12-31,1740.54,Million USD
Workers Remittances (WR),2019-01-31,1735.85,Million USD
Workers Remittances (WR),2019-02-28,1573.68,Million USD
Workers Remittances (WR),2019-03-31,1733.5,Million USD
Workers Remittances (WR),2019-04-30,1770.17,Million USD
Workers Remittances (WR),2019-05-31,2302.02,Million USD
Workers Remittances (WR),2019-06-30,1636.37,Million USD
Workers Remittances (WR),2019-07-31,2028.28,Million USD
Workers Remittances (WR),2019-08-31,1683.95,Million USD
Workers Remittances (WR),2019-09-30,1740.25,Million USD
Workers Remittances (WR),2019-10-31,2001.22,Million USD
Workers Remittances (WR),2019-11-30,1821.45,Million USD
Workers Remittances (WR),2019-12-31,2097.07,Million USD
Workers Remittances (WR),2020-01-31,1906.98,Million USD
Workers Remittances (WR),2020-02-29,1824.83,Million USD
Workers Remittances (WR),2020-03-31,1904.68,Million USD
Workers Remittances (WR),2020-04-30,1785.1,Million USD
Workers Remittances (WR),2020-05-31,1865.23,Million USD
Workers Remittances (WR),2020-06-30,2473.27,Million USD
Workers Remittances (WR),2020-07-31,2764.960828,Million USD
Workers Remittances (WR),2020-08-31,2096.213734,Million USD
Workers Remittances (WR),2020-09-30,2285.022573,Million USD
Workers Remittances (WR),2020-10-31,2284.10714,Million USD
Workers Remittances (WR),2020-11-30,2332.147257,Million USD
Workers Remittances (WR),2020-12-31,2421.721535,Million USD
Workers Remittances (WR),2021-01-31,2268.742601,Million USD
Workers Remittances (WR),2021-02-28,2260.322735,Million USD
Workers Remittances (WR),2021-03-31,2723.218474,Million USD
Workers Remittances (WR),2021-04-30,2792.557929,Million USD
Workers Remittances (WR),2021-05-31,2506.658351,Million USD
Workers Remittances (WR),2021-06-30,2714.234446,Million USD
Workers Remittances (WR),2021-07-31,2736.077681,Million USD
Workers Remittances (WR),2021-08-31,2682.62743,Million USD
Workers Remittances (WR),2021-09-30,2779.892769,Million USD
Workers Remittances (WR),2021-10-31,2628.586368,Million USD
Workers Remittances (WR),2021-11-30,2459.709253,Million USD
Workers Remittances (WR),2021-12-31,2520.352433,Million USD
Workers Remittances (WR),2022-01-31,2180.433945,Million USD
Workers Remittances (WR),2022-02-28,2196.168428,Million USD
Workers Remittances (WR),2022-03-31,2834.767043,Million USD
Workers Remittances (WR),2022-04-30,3124.369515,Million USD
Workers Remittances (WR),2022-05-31,2346.240221,Million USD
Workers Remittances (WR),2022-06-30,2789.577806,Million USD
Workers Remittances (WR),2022-07-31,2594.295739,Million USD
Workers Remittances (WR),2022-08-31,2815.673902,Million USD
Workers Remittances (WR),2022-09-30,2487.225612,Million USD
Workers Remittances (WR),2022-10-31,2247.62424,Million USD
Workers Remittances (WR),2022-11-30,2173.036496,Million USD
Workers Remittances (WR),2022-12-31,2099.787498,Million USD
Workers Remittances (WR),2023-01-31,1900.087935,Million USD
Workers Remittances (WR),2023-02-28,1990.345686,Million USD
Workers Remittances (WR),2023-03-31,2536.682781,Million USD
Workers Remittances (WR),2023-04-30,2198.302053,Million USD
Workers Remittances (WR),2023-05-31,2102.666259,Million USD
Workers Remittances (WR),2023-06-30,2187.080838,Million USD
Workers Remittances (WR),2023-07-31,2029.041389,Million USD
Workers Remittances (WR),2023-08-31,2094.507416,Million USD
Workers Remittances (WR),2023-09-30,2208.130749,Million USD
Workers Remittances (WR),2023-10-31,2463.117162,Million USD
Workers Remittances (WR),2023-11-30,2258.544029,Million USD
Workers Remittances (WR),2023-12-31,2381.853131,Million USD
Workers Remittances (WR),2024-01-31,2397.870065,Million USD
Workers Remittances (WR),2024-02-29,2250.147228,Million USD
Workers Remittances (WR),2024-03-31,2953.980816,Million USD
Workers Remittances (WR),2024-04-30,2813.267052,Million USD
Workers Remittances (WR),2024-05-31,3242.226877,Million USD
Workers Remittances (WR),2024-06-30,3158.138862,Million USD
Workers Remittances (WR),2024-07-31,2993.99974,Million USD
Workers Remittances (WR),2024-08-31,2942.812184,Million USD
Workers Remittances (WR),2024-09-30,2859.516117,Million USD
Workers Remittances (WR),2024-10-31,3054.550962,Million USD
Workers Remittances (WR),2024-11-30,2915.348668,Million USD
Workers Remittances (WR),2024-12-31,3080.397524,Million USD
Workers Remittances (WR),2025-01-31,3003.375873,Million USD
Workers Remittances (WR),2025-02-28,3126.670931,Million USD
Workers Remittances (WR),2025-03-31,4053.579523,Million USD
Workers Remittances (WR),2025-04-30,3176.928508,Million USD
Workers Remittances (WR),2025-05-31,3685.588476,Million USD
Workers Remittances (WR),2025-06-30,3406.389361,Million USD
Workers Remittances (WR),2025-07-31,3214.514462,Million USD
Workers Remittances (WR),2025-08-31,3138.174787,Million USD
Workers Remittances (WR),2025-09-30,3183.749768,Million USD
